Wall time,Step,Value
1682743611.486445,187141,129.0
1682743646.5177267,187944,105.0
1682743705.259855,189323,398.0
1682743748.3120418,190339,44.0
1682743828.3379278,192216,672.0
1682743959.8766148,195298,835.0
1682743964.25467,195401,257.0
1682743973.5218377,195620,44.0
1682744020.6703088,196727,273.0
1682744083.1890688,198202,898.0
1682744110.8342397,198852,836.0
1682744111.0035405,198856,898.0
1682744129.3143024,199288,898.0
1682744169.0595613,200212,722.0
1682744220.272743,201402,657.0
1682744242.3957412,201921,282.0
1682744421.3452291,206111,594.0
1682744461.4019582,207051,385.0
1682744485.341821,207610,177.0
1682744534.0628495,208749,766.0
1682744541.9448092,208935,434.0
1682744587.1089342,209989,855.0
1682744595.7471285,210192,759.0
1682744719.678379,213100,249.0
1682744752.8075604,213868,724.0
1682744815.8528347,215331,898.0
1682744842.5159576,215954,225.0
1682744845.4959106,216024,313.0
1682744846.711383,216053,201.0
1682744923.7607496,217868,315.0
1682744938.9657907,218221,81.0
1682744994.1920755,219515,595.0
1682745009.4042647,219862,441.0
1682745026.5704172,220266,249.0
1682745050.9078765,220838,441.0
1682745069.4506242,221271,129.0
1682745166.5574698,223538,257.0
1682745222.5596943,224846,44.0
1682745282.4601889,226248,901.0
1682745286.5982077,226346,297.0
1682745287.1041207,226358,297.0
1682745332.2715757,227412,898.0
1682745364.5111477,228172,594.0
1682745382.28903,228584,722.0
1682745382.431778,228587,722.0
1682745412.4272523,229291,756.0
1682745424.4898963,229574,297.0
1682745487.2797866,231024,248.0
1682745531.3548164,232061,249.0
1682745536.2672334,232175,374.0
1682745537.0261865,232193,605.0
1682745598.402443,233633,153.0
1682745605.9238048,233810,153.0
1682745633.6076741,234459,81.0
1682745654.2532172,234918,201.0
1682745660.3033218,235060,58.0
1682745667.1134102,235216,449.0
1682745788.214112,238048,201.0
1682745812.5940008,238616,835.0
1682745843.2932348,239339,518.0
1682745876.0519016,240095,741.0
1682745937.3105524,241532,44.0
1682745941.4630988,241630,44.0
1682745960.0441372,242065,595.0
1682745972.1891208,242342,722.0
1682746025.592903,243572,297.0
1682746082.6714573,244901,714.0
1682746117.701789,245715,249.0
1682746132.2745135,246051,201.0
1682746170.4072542,246940,715.0
1682746194.7005396,247508,489.0
1682746256.6540558,248961,44.0
1682746287.6231012,249677,153.0
1682746302.6423557,250025,153.0
1682746339.0083263,250870,201.0
1682746358.2010732,251320,177.0
1682746378.5931969,251797,722.0
1682746390.215993,252067,129.0
1682746449.4990833,253440,177.0
1682746491.938862,254423,493.0
1682746499.6908677,254602,249.0
1682746559.9325697,255996,643.0
1682746600.8120947,256946,1011.0
1682746648.68237,258063,297.0
1682746654.9222367,258208,471.0
1682746661.0109594,258351,572.0
1682746693.676158,259112,201.0
1682746694.1607234,259123,434.0
1682746773.251949,260954,898.0
1682746840.1665344,262513,449.0
1682746843.8098226,262599,273.0
1682746854.9217765,262854,201.0
1682746901.6315765,263948,513.0
1682746913.0034633,264213,369.0
1682746945.050237,264961,44.0
1682746958.5195458,265273,153.0
