Wall time,Step,Value
1682874524.3742647,117048,58.0
1682874583.026315,117636,129.0
1682874602.049636,117826,565.0
1682874637.9579718,118191,58.0
1682874932.5023997,121193,898.0
1682874932.5843482,121194,898.0
1682874946.247198,121333,434.0
1682874953.1813676,121404,177.0
1682874995.5166159,121836,345.0
1682875031.889553,122206,966.0
1682875073.968763,122635,898.0
1682875335.102676,125291,248.0
1682875729.3611815,129319,44.0
1682875738.0209277,129407,633.0
1682875802.8516815,130072,498.0
1682875960.4590218,131681,225.0
1682875979.663827,131877,722.0
1682876224.8279803,134377,321.0
1682876226.0941274,134390,589.0
1682876234.4022336,134475,585.0
1682876273.7519348,134878,898.0
1682876345.637849,135616,44.0
1682876403.5412574,136210,201.0
1682876448.890272,136674,44.0
1682876449.376888,136679,153.0
1682876486.7963657,137056,434.0
1682876536.6297128,137566,447.0
1682876716.6643689,139404,153.0
1682876721.1524818,139450,590.0
1682876772.7151568,139976,225.0
1682876780.5805876,140056,332.0
1682876848.6788595,140751,721.0
1682876872.0755284,140990,722.0
1682876894.9138777,141223,722.0
1682876960.3911495,141890,722.0
1682877058.8602855,142893,726.0
1682877189.494445,144227,81.0
1682877195.237927,144286,105.0
1682877393.465908,146313,105.0
1682877431.0156956,146697,369.0
1682877508.9482281,147492,105.0
1682877618.179299,148605,781.0
1682877624.9172423,148674,306.0
1682877625.3078012,148678,380.0
1682877723.6130142,149684,129.0
1682877743.4389982,149887,345.0
1682877828.7543404,150759,496.0
1682877839.0777285,150864,690.0
1682877857.038753,151043,495.0
1682877865.9579651,151134,249.0
1682877880.0917752,151277,289.0
1682878002.7370176,152524,624.0
1682878026.551682,152767,594.0
1682878263.3446865,155190,466.0
1682878302.09505,155585,763.0
1682878315.5015132,155721,898.0
1682878316.9777505,155736,898.0
1682878407.112641,156653,345.0
1682878454.0694554,157131,411.0
1682878483.5259366,157431,725.0
1682878502.5272748,157624,722.0
1682878677.7246177,159409,595.0
1682878714.1447287,159780,434.0
1682878760.662945,160253,438.0
1682878849.810925,161160,249.0
1682878852.5562694,161188,345.0
1682878869.952815,161365,434.0
1682878927.650494,161951,177.0
1682878952.883186,162207,474.0
1682878989.8564043,162584,594.0
1682879010.0614073,162790,153.0
1682879059.7921932,163297,153.0
1682879189.4094942,164623,225.0
1682879271.7286105,165464,44.0
1682879284.8577065,165598,434.0
1682879304.8860102,165801,1102.0
1682879445.1033607,167235,297.0
1682879460.8751018,167397,696.0
1682879485.0737143,167645,595.0
1682879523.4771194,168038,321.0
1682879649.036434,169324,225.0
1682879671.5894976,169555,105.0
1682879702.8186464,169874,225.0
1682879711.564405,169964,105.0
1682879733.5699317,170189,321.0
1682879763.6758807,170496,594.0
1682879874.093169,171621,249.0
1682879877.8886647,171660,340.0
1682879878.8661625,171670,566.0
1682880006.9003992,172973,249.0
1682880018.827343,173094,722.0
1682880026.7555332,173175,594.0
1682880064.2731855,173557,434.0
1682880082.804734,173746,901.0
1682880171.3743222,174648,434.0
1682880478.048869,177778,434.0
1682880518.8307679,178193,44.0
1682880564.937572,178662,129.0
1682880568.8458636,178702,594.0
1682880617.421666,179197,225.0
1682880727.2706409,180316,722.0
1682880799.3667388,181050,722.0
1682880805.1315455,181109,722.0
1682880857.067919,181637,594.0
1682880901.6701362,182088,105.0
1682880975.9019017,182836,332.0
1682880986.6101658,182945,225.0
1682880987.0978832,182950,58.0
1682881018.6285524,183272,716.0
1682881050.4152417,183599,153.0
1682881162.4661152,184746,428.0
1682881193.0756562,185059,571.0
1682881286.1590643,186006,434.0
1682881308.3904803,186233,321.0
1682881392.248061,187091,177.0
1682881397.1376257,187141,722.0
1682881475.5598266,187944,786.0
1682881480.0333166,187990,434.0
1682881604.6439772,189260,297.0
1682881610.7906291,189323,722.0
1682881709.9785156,190339,105.0
1682881893.3279498,192216,273.0
1682882128.6064413,194622,273.0
1682882194.8893213,195298,201.0
1682882204.96629,195401,273.0
1682882226.3856437,195620,297.0
1682882335.1576838,196727,1007.0
1682882340.065475,196777,434.0
1682882480.0643997,198202,177.0
1682882543.4071114,198852,722.0
1682882543.7985752,198856,722.0
1682882585.8298059,199288,434.0
1682882622.2838607,199663,594.0
1682882676.2846863,200212,417.0
1682882792.9712594,201402,595.0
1682882843.4229825,201921,597.0
1682883254.4788125,206111,225.0
1682883346.1885157,207051,297.0
1682883400.666874,207610,58.0
1682883511.6561909,208749,58.0
1682883529.7784328,208935,58.0
1682883632.7872496,209989,594.0
1682883652.7775593,210192,242.0
1682883756.484483,211242,722.0
1682883938.6493158,213100,369.0
1682884014.0798943,213868,153.0
1682884038.8891592,214121,44.0
1682884157.7724242,215331,81.0
1682884218.9343047,215954,489.0
1682884225.8720279,216024,898.0
1682884228.7288923,216053,898.0
1682884407.5686474,217868,434.0
1682884442.1607935,218221,177.0
1682884444.4033215,218244,153.0
1682884569.0366952,219515,201.0
1682884595.9222033,219791,1338.0
1682884602.900302,219862,273.0
1682884642.5313265,220266,1036.0
1682884698.3499563,220838,302.0
1682884740.8082156,221271,591.0
1682884963.4238641,223538,58.0
1682885094.2366362,224846,129.0
1682885129.3452778,225205,740.0
1682885231.1629066,226248,434.0
1682885240.6853778,226346,177.0
1682885241.8518772,226358,153.0
1682885344.7675285,227412,898.0
1682885398.7471416,227966,225.0
1682885398.9398274,227968,273.0
1682885418.8204002,228172,875.0
1682885459.0619304,228584,309.0
1682885459.3592887,228587,381.0
1682885499.6417284,229000,393.0
1682885528.1497025,229291,722.0
1682885555.8439605,229574,201.0
1682885621.819702,230244,594.0
1682885698.664252,231024,722.0
1682885800.8079748,232061,722.0
1682885811.9148328,232175,249.0
1682885813.6649845,232193,105.0
1682885938.5136302,233471,177.0
1682885954.3314722,233633,434.0
1682885971.6550777,233810,649.0
1682885984.1329236,233938,345.0
1682886035.053842,234459,81.0
1682886079.8580985,234918,177.0
1682886093.7359617,235060,417.0
1682886109.002062,235216,393.0
1682886118.1712668,235310,722.0
1682886274.6321206,236907,722.0
1682886386.9227602,238048,153.0
1682886442.8239026,238616,594.0
1682886513.8547413,239339,58.0
1682886588.372441,240095,434.0
1682886729.2947986,241532,105.0
1682886738.9179368,241630,153.0
1682886781.4671829,242065,594.0
1682886808.523962,242342,225.0
1682886929.5487742,243572,606.0
1682887060.0354729,244901,722.0
1682887140.1463122,245715,434.0
1682887173.2321522,246051,594.0
1682887260.6019657,246940,201.0
1682887316.5721092,247508,44.0
1682887334.980396,247695,963.0
1682887393.630855,248293,273.0
1682887458.8200023,248961,129.0
1682887528.951164,249677,129.0
1682887563.1316442,250025,594.0
1682887584.5636725,250243,722.0
1682887645.9436588,250870,44.0
1682887690.1087236,251320,434.0
1682887727.063615,251696,177.0
1682887736.9461005,251797,437.0
1682887763.5455832,252067,915.0
1682887814.5698478,252586,153.0
1682887900.4875064,253440,297.0
1682887984.573788,254295,297.0
1682887997.1767673,254423,201.0
1682888014.7760675,254602,417.0
1682888023.5175507,254691,594.0
1682888151.7841413,255996,105.0
1682888224.148516,256731,594.0
1682888245.3132098,256946,297.0
1682888355.2035754,258063,434.0
1682888369.555726,258208,722.0
1682888383.5762773,258351,898.0
1682888404.9058716,258569,898.0
1682888443.3210156,258960,265.0
1682888458.2673984,259112,594.0
1682888459.3498483,259123,594.0
1682888519.8512688,259737,722.0
1682888567.186949,260212,561.0
1682888598.449922,260532,58.0
1682888639.7854435,260954,321.0
1682888793.264674,262513,44.0
1682888801.731961,262599,735.0
1682888826.8742745,262854,248.0
1682888935.1071992,263948,129.0
1682888961.8044996,264213,647.0
1682889037.657374,264961,411.0
1682889069.4084566,265273,242.0
1682889101.7902405,265602,153.0
1682889110.879169,265695,590.0
1682889326.623387,267898,603.0
1682889404.5423796,268688,727.0
1682889407.3959773,268717,1014.0
1682889462.1219099,269273,738.0
1682889567.3484554,270342,153.0
1682889592.1691043,270594,105.0
1682889618.503275,270862,561.0
1682889637.3482242,271053,898.0
1682889650.38614,271186,442.0
1682889687.028991,271557,722.0
1682889739.0639508,272074,594.0
1682889765.6264818,272345,1320.0
1682889805.5175087,272752,437.0
1682889823.797034,272939,249.0
1682890066.266403,275403,781.0
1682890078.3079748,275527,225.0
1682890199.6229753,276768,345.0
1682890265.421531,277440,249.0
1682890393.7060428,278748,898.0
1682890406.6642978,278880,606.0
1682890423.1893845,279049,297.0
1682890465.7001917,279482,434.0
1682890467.660617,279502,719.0
1682890505.8698823,279891,672.0
1682890561.1917913,280454,898.0
1682890577.4089265,280619,201.0
1682890605.4040513,280905,638.0
1682890642.05341,281278,594.0
1682890667.4145372,281537,129.0
1682890683.6664646,281703,332.0
1682890735.647072,282230,538.0
1682890777.3093076,282651,249.0
1682890881.497541,283707,898.0
1682890940.4999225,284304,594.0
1682890998.0750115,284887,992.0
1682891062.3348634,285538,722.0
1682891220.851186,287144,489.0
1682891244.9172046,287387,428.0
1682891380.861652,288761,58.0
1682891429.383283,289253,719.0
1682891440.3846629,289365,177.0
1682891501.8598206,289986,561.0
1682891584.05742,290817,898.0
1682891801.3250694,293018,225.0
1682891881.1209862,293827,594.0
1682891898.342307,294002,561.0
1682892036.8149476,295409,916.0
1682892053.3731837,295574,722.0
1682892182.003925,296882,177.0
1682892326.3187704,298352,722.0
1682892332.4848197,298414,434.0
1682892406.5159671,299169,225.0
1682892437.6506693,299486,249.0
1682892561.5912874,300715,129.0
1682892573.5850105,300834,434.0
1682892589.429716,300994,369.0
1682892592.920702,301029,105.0
1682892671.799946,301830,153.0
1682892731.5516884,302432,404.0
1682892737.7789845,302495,898.0
1682892794.9921057,303067,58.0
1682892893.2480443,304024,313.0
1682892919.6070778,304280,225.0
1682893025.7320743,305305,369.0
1682893152.1451166,306507,898.0
1682893356.5765867,308412,512.0
1682893404.4974337,308856,1325.0
1682893421.149471,309010,489.0
1682893501.2959592,309748,177.0
1682893503.113811,309765,297.0
1682893520.1117115,309917,393.0
1682893523.0801322,309945,594.0
1682893561.912726,310295,898.0
1682893712.929175,311640,641.0
1682893819.5006993,312588,594.0
1682893838.2672834,312756,434.0
1682893949.5493586,313737,787.0
1682894014.3714383,314292,201.0
1682894114.5740335,315170,434.0
1682894163.4442732,315590,177.0
1682894404.4665153,317698,105.0
1682894441.5824387,318007,722.0
1682894488.2582111,318410,594.0
1682894536.48504,318829,417.0
1682894569.239336,319112,429.0
1682894607.6866164,319436,244.0
1682894665.8033786,319942,438.0
1682894674.7301803,320014,153.0
1682894706.550978,320283,177.0
1682894719.2695558,320392,537.0
1682894761.171306,320744,666.0
1682894774.9204245,320859,105.0
1682894786.1536574,320956,297.0
1682894835.9821284,321384,129.0
1682894954.7380006,322389,201.0
1682895026.4855046,323009,722.0
1682895031.161503,323050,515.0
1682895180.1220658,324305,404.0
1682895225.6862638,324690,129.0
1682895270.2311208,325063,105.0
1682895457.9295058,326677,605.0
1682895617.276249,328039,129.0
1682895676.6173637,328544,446.0
1682895676.732985,328545,466.0
1682895735.5490537,329051,722.0
1682895811.8145304,329711,242.0
1682895850.2673318,330048,722.0
1682895883.1452796,330332,722.0
1682895957.6511993,330970,249.0
1682896035.5379913,331639,604.0
1682896072.023645,331950,153.0
1682896075.1147382,331977,594.0
1682896092.630595,332128,594.0
1682896108.1222062,332259,153.0
1682896161.989003,332721,105.0
1682896225.3750474,333258,297.0
1682896233.219869,333326,434.0
1682896284.10327,333764,297.0
1682896362.9353292,334443,345.0
1682896363.7712765,334449,489.0
1682896367.0092585,334478,153.0
1682896588.9182682,336384,667.0
1682896590.343359,336393,883.0
1682896628.4165847,336725,1086.0
1682896860.0974958,338709,369.0
1682896863.202962,338737,722.0
1682896880.9854565,338891,436.0
1682897376.796476,341762,177.0
1682897382.3898513,341808,105.0
1682897383.9954224,341821,129.0
1682897536.9690993,343066,58.0
1682897547.485323,343150,720.0
1682897712.242275,344504,522.0
1682897715.7690022,344534,982.0
1682897738.3081255,344722,44.0
1682897805.4105144,345280,201.0
1682897818.9187567,345393,225.0
1682898022.7572818,347112,434.0
1682898146.165306,348185,105.0
1682898186.327892,348542,257.0
1682898228.8658109,348925,471.0
1682898276.2716463,349355,297.0
1682898620.9182658,352561,722.0
1682898628.0827663,352629,722.0
1682898628.6438296,352634,722.0
1682898688.3621588,353206,129.0
1682899171.006432,357925,434.0
1682899186.9737413,358084,177.0
1682899194.9289122,358163,434.0
1682899198.3949778,358197,594.0
1682899237.2723062,358583,435.0
1682899259.9322727,358808,129.0
1682899317.925407,359383,619.0
1682899358.7520194,359791,356.0
1682899413.279112,360334,81.0
1682899424.913124,360450,265.0
1682899458.1896718,360775,278.0
1682899493.0601115,361122,105.0
1682899566.2902603,361846,242.0
1682899574.62059,361929,722.0
1682899688.864825,363062,242.0
1682899815.9469824,364335,722.0
1682899859.615779,364771,722.0
1682899862.4038699,364799,722.0
1682899919.8035598,365368,58.0
1682900069.754539,366869,898.0
1682900213.8917522,368317,434.0
1682900254.53073,368722,282.0
1682900352.639208,369706,250.0
1682900382.224742,370002,765.0
